page_id	article	section_number	route	source_title	source_sha256	play_count	image_count
moretypes/21	moretypes.article	21	/moretypes/21	Map literals continued	0493179c2396f2e755fa5f1e579ce6f4cc716842ef5ee77a0b1c742210c15f9f	1	0
moretypes/22	moretypes.article	22	/moretypes/22	Mutating Maps	f6963bc620184c7fbea7b04c309ccf64d508a4e835500fa7dd4188e60204019f	1	0
moretypes/23	moretypes.article	23	/moretypes/23	Exercise: Maps	3214968207b659c3fb6bf92ee3d1ba0858bf7d3240dfad30fada7c5d8bddea69	1	0
moretypes/24	moretypes.article	24	/moretypes/24	Function values	91b508ec19d3baf6fd1b2382e54b0f4ec226e9af99d027e86d734cf081d9c897	1	0
moretypes/25	moretypes.article	25	/moretypes/25	Function closures	570e535e9c2b2d1978534eb3b42f226102b11da36a3f9e61620dc5eafdb6be5f	1	0
moretypes/26	moretypes.article	26	/moretypes/26	Exercise: Fibonacci closure	24f01440a7b0d638694c6cb275bf92e79e1fb2463ea2eb7d40a68cc4d6a0ed29	1	0
moretypes/27	moretypes.article	27	/moretypes/27	Congratulations!	f565674b974c053924bf69ef83b709dc50931526ae7fa88e71543a5cd872a190	0	0
methods/1	methods.article	1	/methods/1	Methods	8a62096b755332ede134c87493abe49231a52ce60abebcdc107bb6a64434fc72	1	0
methods/2	methods.article	2	/methods/2	Methods are functions	ade066728f85cc93e75c2472b80d532b62259a7e08e42ef36e3d05c6cfa5476d	1	0
methods/3	methods.article	3	/methods/3	Methods continued	31c4fd0d80c8f1d96cf3efb1ecc1f9d3c0d1b5b70bb5c23bf7227b7007469588	1	0
methods/4	methods.article	4	/methods/4	Pointer receivers	99f9fa4e5c4dd46d393f40b417d0430c4e27e56f40146f5f192f55ccda4e2db3	1	0
methods/5	methods.article	5	/methods/5	Pointers and functions	cac8affc7a8fd7bc1c0003d8cbf5bd7c85433faea45ea1b39f3b80c2fbc5eae9	1	0
methods/6	methods.article	6	/methods/6	Methods and pointer indirection	39fb725b0a084ce3634dc973c215ff7a0f034c5f7b51c2ffe25934088072ebf6	1	0
methods/7	methods.article	7	/methods/7	Methods and pointer indirection (2)	61a9cb8411e6ce15dce3383a68a52c6644599e84269b3faf240129277d238f7e	1	0
methods/8	methods.article	8	/methods/8	Choosing a value or pointer receiver	357424f2a76613085184054178042b442331b5689d156ac9c37e09e57c436dae	1	0
methods/9	methods.article	9	/methods/9	Interfaces	39efc19ed01619130489d21e421f2c0d8947b20f408580f4ceaabce6a0feb099	1	0
methods/10	methods.article	10	/methods/10	Interfaces are implemented implicitly	11ca99e6e83d93827daf02b177156fcb6f3c94ac8c202491dfffc5840ce4e39f	1	0
methods/11	methods.article	11	/methods/11	Interface values	ccb2ed709b887724d22fb93714702fed5de4b7a83ca976876864045ff4752270	1	0
methods/12	methods.article	12	/methods/12	Interface values with nil underlying values	9487ca3c9872972d42af8cfa389755678fe8a7cca110b592aac2a762332febf5	1	0
methods/13	methods.article	13	/methods/13	Nil interface values	2897922c0b088ccd46b3e42a442aeecda0787c4162db1329d0e8f39d05735547	1	0
methods/14	methods.article	14	/methods/14	The empty interface	f85eea0b014a1f885077243bef53d3b38d8f06120b49d257ada1d66f59e80d96	1	0
methods/15	methods.article	15	/methods/15	Type assertions	c205b4eb940358edea6321cfa422c3c00a560e9a6a71b08c8b3fa3ab9e4926ae	1	0
methods/16	methods.article	16	/methods/16	Type switches	26e4da09e80d30b06368691c76ee2940139b0f6fc40cad47bb6d1d2947933c27	1	0
methods/17	methods.article	17	/methods/17	Stringers	0363038e64b6f186e1bbd55c3323a5d7770a2b728605d8e3f01ae234aff6a444	1	0
methods/18	methods.article	18	/methods/18	Exercise: Stringers	ad118644f53755586f14409e203bccfb5ac4cff7c01734157032a45648fb06d3	1	0
methods/19	methods.article	19	/methods/19	Errors	9eaab1fde2076c1376f78ceec0f84766c4c3b8062867436d73cef0bc77f16bd5	1	0
methods/20	methods.article	20	/methods/20	Exercise: Errors	41f1f73320fde60ee5ff30d5927a19ff22d6da6a336bb776e15f2499e4f421d8	1	0
methods/21	methods.article	21	/methods/21	Readers	120c3fc9f67579cf78605cf0c9f006fc28d3569043a08079ddb645ca9c3fc3b1	1	0
methods/22	methods.article	22	/methods/22	Exercise: Readers	0df444d989996a06d6dd50f4b109af4ae1cb2302b8dd867bcbe9bf98e424d230	1	0
methods/23	methods.article	23	/methods/23	Exercise: rot13Reader	11d876145fae980b2e283e3fac7357a950eb20f022b7da48cc58efed5b1e8e04	1	0
methods/24	methods.article	24	/methods/24	Images	d80f0d46796ad415a7ded4d0cefdef6cdb58deb38d050a61eb64abb25caf27ee	1	0
methods/25	methods.article	25	/methods/25	Exercise: Images	a196bc59d96602c3fe72cf765419366094a5c1e96de0d24dd140887ebd1826b5	1	0
methods/26	methods.article	26	/methods/26	Congratulations!	f565674b974c053924bf69ef83b709dc50931526ae7fa88e71543a5cd872a190	0	0
generics/1	generics.article	1	/generics/1	Type parameters	01a045105dc8c12fb1709f122d363235c19a6464d5de7587d579524aec270dd6	1	0
generics/2	generics.article	2	/generics/2	Generic types	08486351895e62792a84bc3eeab6aa85df7b1658735b7239040d219812f63277	1	0
generics/3	generics.article	3	/generics/3	Congratulations!	f565674b974c053924bf69ef83b709dc50931526ae7fa88e71543a5cd872a190	0	0
concurrency/1	concurrency.article	1	/concurrency/1	Goroutines	d0a9c45078c2255540cfffe48744a07fa04ab5c2113e8880068b5a400ae0ebdc	1	0
concurrency/2	concurrency.article	2	/concurrency/2	Channels	a35e3af26b51f8c2c2a6dfaf09f9c7cab0fdb4b1b56f9e4dc9b793f1dac1e295	1	0
concurrency/3	concurrency.article	3	/concurrency/3	Buffered Channels	caef0893a54c61f192be397f6b27a039d81dc007f98f2d203a5a287383c0682e	1	0
concurrency/4	concurrency.article	4	/concurrency/4	Range and Close	3e925c6745255a443c61f25cd8131d538dc8677938f1c5021ce798465020b42e	1	0
concurrency/5	concurrency.article	5	/concurrency/5	Select	8d8de56f080d4f702ac455aa60cb13b745472bedc9755000e8b5d6a2a898577d	1	0
concurrency/6	concurrency.article	6	/concurrency/6	Default Selection	82e9cd932e14e6c4852fc8f865f4c45dc75845bd1a306649152ebc045f0c3b2c	1	0
concurrency/7	concurrency.article	7	/concurrency/7	Exercise: Equivalent Binary Trees	7c5d3fc7bb2540285d746242f8a1d16075639648eec8909c1df52239297d2917	0	1
concurrency/8	concurrency.article	8	/concurrency/8	Exercise: Equivalent Binary Trees	b362cc15a26324acd311f7cab18a628dc1d7d9ac6d455add7d651d41acf15e9a	1	0
concurrency/9	concurrency.article	9	/concurrency/9	sync.Mutex	49f727794604c2ef8a8dda9508d0f412d7015cea77754c675a02b166dd9bfc93	1	0
concurrency/10	concurrency.article	10	/concurrency/10	Exercise: Web Crawler	bb686393225ef2335e627819a1664a84456f00b64af133af64920d43f0abdb94	1	0
concurrency/11	concurrency.article	11	/concurrency/11	Where to Go from here...	45ef131ede663b1355c0a5933634d46c393f66be8a6450b184f86a62e928a64e	0	0
